id	RA/IH	CTL/PRO	Group	observed_features	chao1	chao1_ci	simpson	dominance	shannon_entropy	pielou_evenness
AK024	IH	PRO	IH FMT PRO	344	373.689655172414	(357.81572901318174, 407.8023243953186)	0.897679229312285	0.102320770687715	4.88460735679835	0.579688331543653
MB001	IH	PRO	IH FMT PRO	417	420.620689655172	(417.9483311247004, 430.8236458106488)	0.931936070872585	0.0680639291274149	5.78602853463545	0.664762481088191
MB002	IH	CTL	IH FMT	395	402.777777777778	(397.60853425513477, 418.1907351959878)	0.938907684470063	0.0610923155299373	5.67773671034992	0.65823421745972
MB003	RA	PRO	RA FMT PRO	198	200.8125	(198.60059510672838, 211.1705306310087)	0.748556624009338	0.251443375990662	3.4923846582222	0.45775611655518
MB004	RA	CTL	RA FMT	429	435.785714285714	(431.1968913403081, 449.95957934855744)	0.9472372064128	0.0527627935872003	5.93245411811401	0.678395293535996
MB005	IH	PRO	IH PRO	397	399.5	(397.5394803015532, 408.5852237459009)	0.898990483793677	0.101009516206323	5.47040535624739	0.633662504301843
MB006	IH	CTL	IH	352	357	(353.3908183673449, 369.9750286500212)	0.853157681821164	0.146842318178836	4.84289466303345	0.572484639791152
MB007	RA	CTL	RA	307	308.75	(307.30642776223465, 316.9941988861145)	0.924384209304928	0.0756157906950719	5.15339386477929	0.623739373757866
MB008	IH	CTL	IH FMT M	480	491.7	(484.4765274307676, 510.57950657448055)	0.946196988805706	0.0538030111942938	6.06547459535878	0.680986763029212
MB009	IH	CTL	IH FMT F	464	467.391304347826	(464.8330655969175, 477.80556972000704)	0.956605296538629	0.0433947034613708	6.23046734920741	0.703373302859257
MB010	RA	CTL	RA FMT M	383	397.772727272727	(388.65619241371184, 421.58310593277093)	0.849529216172377	0.150470783827623	4.66992657845392	0.544204337594723
MB011	RA	CTL	RA FMT F	489	502	(494.01424563672055, 522.7039730886679)	0.973228620054662	0.0267713799453375	6.57487430199836	0.735963954421647
MB012	Red Tube	Red Tube	Red Tube	294	299.6875	(295.5650271683715, 314.6690700990572)	0.954699892223103	0.0453001077768965	5.6616670193439	0.690474787435776
MB013	Red Tube	Red Tube	Red Tube	299	309.6875	(302.5380915861792, 331.2836912125697)	0.958802745869057	0.0411972541309427	5.76532992415626	0.701037056235572
MB014	Red Tube	Red Tube	Red Tube	324	326.5	(324.52059370928316, 336.00552347934854)	0.979870718908689	0.0201292810913113	6.55533973329683	0.786026095316996
MB015	Red Tube	Red Tube	Red Tube	303	304.217391304348	(303.1914467222665, 310.7412742843328)	0.961399089643909	0.0386009103560907	5.78439230774021	0.701719061048275
MB016	Red Tube	Red Tube	Red Tube	334	343	(336.8804324190094, 362.1207777920568)	0.963610973165894	0.0363890268341055	6.03006360290113	0.719260054092586
